symbol,date,open,high,low,close,volume,adjfactor
513010,2024-01-16,0.466,0.473,0.459,0.462,8687354,1.0
513010,2024-01-17,0.457,0.458,0.435,0.435,12462215,1.0
513010,2024-01-18,0.439,0.444,0.433,0.442,17214562,1.0
513010,2024-01-19,0.44,0.445,0.43,0.43,10781032,1.0
513010,2024-01-22,0.435,0.438,0.415,0.419,12162481,1.0
513010,2024-01-23,0.423,0.441,0.421,0.435,21821745,1.0
513010,2024-01-24,0.444,0.45,0.434,0.445,15956912,1.0
513010,2024-01-25,0.449,0.458,0.442,0.456,14848921,1.0
513010,2024-01-26,0.452,0.453,0.438,0.442,12869446,1.0
513010,2024-01-29,0.445,0.45,0.439,0.44,10332321,1.0
513010,2024-01-30,0.434,0.436,0.426,0.428,8750061,1.0
513010,2024-01-31,0.426,0.429,0.413,0.414,12999521,1.0
513010,2024-02-01,0.417,0.431,0.415,0.422,16512765,1.0
513010,2024-02-02,0.431,0.436,0.415,0.421,14074832,1.0
513010,2024-02-05,0.415,0.428,0.413,0.421,17650172,1.0
513010,2024-02-06,0.422,0.449,0.422,0.449,19594786,1.0
513010,2024-02-07,0.453,0.458,0.437,0.441,18076279,1.0
513010,2024-02-08,0.439,0.446,0.435,0.438,15069770,1.0
513010,2024-02-19,0.453,0.455,0.447,0.451,10404640,1.0
513010,2024-02-20,0.453,0.454,0.442,0.449,8826554,1.0
513010,2024-02-21,0.446,0.472,0.444,0.465,12779581,1.0
513010,2024-02-22,0.462,0.469,0.458,0.467,9619012,1.0
513010,2024-02-23,0.467,0.476,0.465,0.471,11014431,1.0
513010,2024-02-26,0.469,0.474,0.467,0.468,7515703,1.0
513010,2024-02-27,0.473,0.478,0.466,0.478,11509498,1.0
513010,2024-02-28,0.487,0.49,0.473,0.473,11877548,1.0
513010,2024-02-29,0.469,0.479,0.468,0.476,13636629,1.0
513010,2024-03-01,0.472,0.482,0.468,0.482,15146989,1.0
513010,2024-03-04,0.483,0.484,0.474,0.477,12553457,1.0
513010,2024-03-05,0.467,0.47,0.46,0.461,13786344,1.0
513010,2024-03-06,0.461,0.478,0.46,0.47,15481957,1.0
513010,2024-03-07,0.473,0.477,0.462,0.463,8660289,1.0
513010,2024-03-08,0.465,0.473,0.464,0.471,9327608,1.0
513010,2024-03-11,0.472,0.481,0.471,0.48,8038509,1.0
513010,2024-03-12,0.486,0.502,0.482,0.501,14451520,1.0
513010,2024-03-13,0.503,0.512,0.501,0.505,15781260,1.0
513010,2024-03-14,0.508,0.51,0.494,0.497,8364712,1.0
513010,2024-03-15,0.489,0.492,0.483,0.491,11775622,1.0
513010,2024-03-18,0.49,0.5,0.488,0.5,12360901,1.0
513010,2024-03-19,0.494,0.496,0.487,0.49,9613643,1.0
513010,2024-03-20,0.491,0.495,0.485,0.494,9217307,1.0
513010,2024-03-21,0.502,0.505,0.496,0.499,9393594,1.0
513010,2024-03-22,0.491,0.492,0.479,0.483,12548274,1.0
513010,2024-03-25,0.484,0.487,0.477,0.477,8171570,1.0
513010,2024-03-26,0.481,0.487,0.478,0.486,8384505,1.0
513010,2024-03-27,0.48,0.481,0.474,0.475,8318368,1.0
