symbol,date,open,high,low,close,volume,adjfactor
516960,2024-01-16,0.672,0.683,0.663,0.682,104332,1.0
516960,2024-01-17,0.682,0.686,0.662,0.663,95521,1.0
516960,2024-01-18,0.656,0.684,0.656,0.679,82039,1.0
516960,2024-01-19,0.677,0.684,0.669,0.671,97371,1.0
516960,2024-01-22,0.672,0.674,0.654,0.657,149622,1.0
516960,2024-01-23,0.65,0.672,0.65,0.662,28059,1.0
516960,2024-01-24,0.66,0.664,0.645,0.662,28113,1.0
516960,2024-01-25,0.665,0.678,0.656,0.678,28130,1.0
516960,2024-01-26,0.678,0.678,0.667,0.67,12568,1.0
516960,2024-01-29,0.67,0.67,0.647,0.647,18937,1.0
516960,2024-01-30,0.644,0.644,0.631,0.631,10155,1.0
516960,2024-01-31,0.638,0.643,0.629,0.629,6700,1.0
516960,2024-02-01,0.638,0.642,0.628,0.632,17591,1.0
516960,2024-02-02,0.628,0.63,0.601,0.619,38059,1.0
516960,2024-02-05,0.635,0.635,0.594,0.619,89763,1.0
516960,2024-02-06,0.613,0.647,0.612,0.644,53215,1.0
516960,2024-02-07,0.645,0.659,0.645,0.655,37843,1.0
516960,2024-02-08,0.654,0.671,0.654,0.668,58154,1.0
516960,2024-02-19,0.671,0.671,0.663,0.669,33890,1.0
516960,2024-02-20,0.665,0.667,0.659,0.665,49954,1.0
516960,2024-02-21,0.665,0.681,0.66,0.67,22619,1.0
516960,2024-02-22,0.674,0.675,0.669,0.675,67319,1.0
516960,2024-02-23,0.675,0.681,0.672,0.676,68816,1.0
516960,2024-02-26,0.678,0.695,0.674,0.676,70230,1.0
516960,2024-02-27,0.676,0.684,0.67,0.683,38439,1.0
516960,2024-02-28,0.689,0.699,0.673,0.674,39220,1.0
516960,2024-02-29,0.676,0.698,0.671,0.695,39518,1.0
516960,2024-03-01,0.695,0.705,0.69,0.701,45567,1.0
516960,2024-03-04,0.705,0.712,0.702,0.707,11355,1.0
516960,2024-03-05,0.706,0.709,0.698,0.709,13979,1.0
516960,2024-03-06,0.708,0.722,0.703,0.716,47328,1.0
516960,2024-03-07,0.723,0.723,0.703,0.703,136809,1.0
516960,2024-03-08,0.704,0.715,0.703,0.71,18944,1.0
516960,2024-03-11,0.715,0.742,0.715,0.741,39557,1.0
516960,2024-03-12,0.744,0.748,0.737,0.738,48446,1.0
516960,2024-03-13,0.738,0.74,0.731,0.733,14621,1.0
516960,2024-03-14,0.735,0.739,0.725,0.728,65380,1.0
516960,2024-03-15,0.728,0.728,0.713,0.722,65798,1.0
516960,2024-03-18,0.728,0.742,0.728,0.74,22888,1.0
516960,2024-03-19,0.74,0.745,0.732,0.732,14133,1.0
516960,2024-03-20,0.732,0.736,0.73,0.73,19783,1.0
516960,2024-03-21,0.737,0.737,0.724,0.727,19311,1.0
516960,2024-03-22,0.727,0.727,0.71,0.714,58546,1.0
516960,2024-03-25,0.714,0.721,0.708,0.708,16911,1.0
516960,2024-03-26,0.703,0.74,0.703,0.722,10568,1.0
516960,2024-03-27,0.713,0.718,0.705,0.707,41943,1.0
516960,2024-03-28,0.707,0.717,0.702,0.706,66860,1.0
516960,2024-03-29,0.714,0.72,0.713,0.717,39196,1.0
516960,2024-04-01,0.71,0.737,0.71,0.734,44139,1.0
516960,2024-04-02,0.74,0.74,0.732,0.737,37391,1.0
516960,2024-04-03,0.731,0.737,0.731,0.732,22286,1.0
516960,2024-04-08,0.728,0.732,0.722,0.722,31735,1.0
516960,2024-04-09,0.727,0.727,0.719,0.725,10229,1.0
516960,2024-04-10,0.725,0.725,0.711,0.714,22412,1.0
516960,2024-04-11,0.71,0.727,0.709,0.723,5953,1.0
516960,2024-04-12,0.723,0.725,0.709,0.71,8097,1.0
516960,2024-04-15,0.716,0.734,0.716,0.729,29451,1.0
516960,2024-04-16,0.73,0.73,0.715,0.719,13541,1.0
516960,2024-04-17,0.719,0.742,0.718,0.741,35391,1.0
516960,2024-04-18,0.728,0.742,0.724,0.729,23375,1.0
516960,2024-04-19,0.725,0.725,0.714,0.716,58380,1.0
516960,2024-04-22,0.73,0.73,0.708,0.708,48647,1.0
516960,2024-04-23,0.708,0.715,0.697,0.698,17251,1.0
516960,2024-04-24,0.698,0.701,0.69,0.7,18101,1.0
516960,2024-04-25,0.695,0.703,0.691,0.696,38944,1.0
516960,2024-04-26,0.696,0.711,0.696,0.707,26045,1.0
516960,2024-04-29,0.712,0.734,0.712,0.73,32222,1.0
516960,2024-04-30,0.73,0.73,0.718,0.722,4224,1.0
516960,2024-05-06,0.723,0.736,0.723,0.736,15619,1.0
516960,2024-05-07,0.74,0.743,0.731,0.738,16378,1.0
516960,2024-05-08,0.731,0.74,0.722,0.729,6277,1.0
516960,2024-05-09,0.722,0.75,0.701,0.749,28093,1.0
516960,2024-05-10,0.749,0.749,0.735,0.741,33034,1.0
516960,2024-05-13,0.743,0.743,0.731,0.738,22338,1.0
516960,2024-05-14,0.74,0.742,0.732,0.735,10014,1.0
516960,2024-05-15,0.739,0.739,0.725,0.725,70981,1.0
516960,2024-05-16,0.725,0.73,0.722,0.725,85760,1.0
516960,2024-05-17,0.72,0.74,0.716,0.725,44235,1.0
516960,2024-05-20,0.725,0.73,0.722,0.725,16733,1.0
516960,2024-05-21,0.722,0.723,0.717,0.719,7777,1.0
516960,2024-05-22,0.723,0.737,0.719,0.733,13244,1.0
516960,2024-05-23,0.731,0.732,0.72,0.721,10865,1.0
516960,2024-05-24,0.717,0.727,0.717,0.719,5711,1.0
516960,2024-05-27,0.719,0.721,0.711,0.721,2879,1.0
516960,2024-05-28,0.715,0.719,0.712,0.714,10678,1.0
516960,2024-05-29,0.718,0.726,0.714,0.719,5477,1.0
516960,2024-05-30,0.721,0.724,0.716,0.719,12985,1.0
516960,2024-05-31,0.72,0.722,0.714,0.714,5702,1.0
516960,2024-06-03,0.715,0.715,0.708,0.715,11126,1.0
516960,2024-06-04,0.71,0.726,0.709,0.726,16194,1.0
516960,2024-06-05,0.725,0.727,0.717,0.717,7133,1.0
516960,2024-06-06,0.72,0.722,0.713,0.715,12289,1.0
516960,2024-06-07,0.718,0.718,0.695,0.702,14896,1.0
516960,2024-06-11,0.702,0.702,0.688,0.696,9898,1.0
516960,2024-06-12,0.696,0.696,0.687,0.693,13951,1.0
516960,2024-06-13,0.695,0.697,0.689,0.689,3449,1.0
516960,2024-06-14,0.693,0.693,0.684,0.69,15770,1.0
516960,2024-06-17,0.695,0.698,0.685,0.694,2576,1.0
516960,2024-06-18,0.697,0.7,0.689,0.7,9878,1.0
516960,2024-06-19,0.7,0.7,0.687,0.688,9863,1.0
516960,2024-06-20,0.688,0.688,0.679,0.679,13350,1.0
516960,2024-06-21,0.68,0.682,0.675,0.681,6486,1.0
516960,2024-06-24,0.675,0.676,0.671,0.671,6797,1.0
516960,2024-06-25,0.67,0.672,0.661,0.667,3693,1.0
516960,2024-06-26,0.668,0.67,0.659,0.67,8022,1.0
516960,2024-06-27,0.666,0.666,0.66,0.66,4043,1.0
516960,2024-06-28,0.667,0.668,0.662,0.662,4237,1.0
516960,2024-07-01,0.657,0.663,0.652,0.661,8027,1.0
516960,2024-07-02,0.661,0.661,0.648,0.649,13256,1.0
516960,2024-07-03,0.651,0.653,0.645,0.647,8888,1.0
516960,2024-07-04,0.651,0.652,0.643,0.644,9032,1.0
516960,2024-07-05,0.643,0.646,0.638,0.643,4422,1.0
516960,2024-07-08,0.653,0.653,0.633,0.634,5007,1.0
516960,2024-07-09,0.631,0.642,0.627,0.639,6465,1.0
516960,2024-07-10,0.639,0.645,0.637,0.637,2911,1.0
516960,2024-07-11,0.639,0.656,0.639,0.655,39786,1.0
516960,2024-07-12,0.66,0.66,0.649,0.651,55323,1.0
516960,2024-07-15,0.656,0.656,0.649,0.65,9646,1.0
516960,2024-07-16,0.65,0.655,0.648,0.653,4091,1.0
516960,2024-07-17,0.654,0.655,0.65,0.651,10236,1.0
516960,2024-07-18,0.652,0.669,0.648,0.668,42367,1.0
516960,2024-07-19,0.668,0.672,0.659,0.672,43546,1.0
516960,2024-07-22,0.672,0.675,0.666,0.67,34141,1.0
516960,2024-07-23,0.676,0.677,0.653,0.653,34807,1.0
516960,2024-07-24,0.646,0.656,0.646,0.65,13025,1.0
516960,2024-07-25,0.646,0.656,0.646,0.651,18198,1.0
516960,2024-07-26,0.655,0.664,0.655,0.661,25723,1.0
516960,2024-07-29,0.67,0.67,0.65,0.65,20537,1.0
516960,2024-07-30,0.65,0.65,0.644,0.647,17164,1.0
516960,2024-07-31,0.645,0.665,0.645,0.664,29410,1.0
516960,2024-08-01,0.657,0.666,0.655,0.655,26206,1.0
516960,2024-08-02,0.653,0.661,0.648,0.65,2814,1.0
516960,2024-08-05,0.66,0.66,0.639,0.641,3714,1.0
516960,2024-08-06,0.647,0.653,0.64,0.647,10355,1.0
516960,2024-08-07,0.646,0.652,0.646,0.647,1055,1.0
516960,2024-08-08,0.647,0.651,0.639,0.645,6665,1.0
516960,2024-08-09,0.645,0.645,0.636,0.637,75843,1.0
516960,2024-08-12,0.636,0.642,0.633,0.635,34145,1.0
516960,2024-08-13,0.63,0.642,0.63,0.64,20828,1.0
516960,2024-08-14,0.636,0.636,0.632,0.633,652,1.0
516960,2024-08-15,0.633,0.643,0.631,0.639,241100,1.0
516960,2024-08-16,0.637,0.639,0.634,0.635,57867,1.0
516960,2024-08-19,0.63,0.641,0.63,0.636,163529,1.0
516960,2024-08-20,0.636,0.636,0.626,0.629,6134,1.0
516960,2024-08-21,0.626,0.628,0.625,0.626,4816,1.0
516960,2024-08-22,0.625,0.627,0.624,0.626,4482,1.0
516960,2024-08-23,0.626,0.63,0.625,0.63,1673,1.0
516960,2024-08-26,0.631,0.634,0.629,0.632,4187,1.0
516960,2024-08-27,0.63,0.63,0.625,0.627,3915,1.0
516960,2024-08-28,0.629,0.629,0.625,0.626,1191,1.0
516960,2024-08-29,0.624,0.638,0.624,0.633,8225,1.0
516960,2024-08-30,0.627,0.647,0.627,0.641,6049,1.0
516960,2024-09-02,0.636,0.638,0.627,0.627,4479,1.0
516960,2024-09-03,0.625,0.636,0.624,0.634,7807,1.0
516960,2024-09-04,0.635,0.641,0.631,0.638,5755,1.0
516960,2024-09-05,0.638,0.64,0.636,0.636,2236,1.0
516960,2024-09-06,0.642,0.642,0.628,0.63,1023,1.0
516960,2024-09-09,0.626,0.626,0.619,0.623,3431,1.0
516960,2024-09-10,0.619,0.623,0.615,0.62,969,1.0
516960,2024-09-11,0.62,0.632,0.62,0.629,5160,1.0
516960,2024-09-12,0.632,0.641,0.631,0.631,2016,1.0
516960,2024-09-13,0.631,0.631,0.623,0.624,1115,1.0
516960,2024-09-18,0.623,0.627,0.623,0.626,1640,1.0
516960,2024-09-19,0.628,0.639,0.624,0.631,3712,1.0
516960,2024-09-20,0.626,0.626,0.618,0.624,1225,1.0
516960,2024-09-23,0.622,0.626,0.622,0.622,540,1.0
516960,2024-09-24,0.626,0.647,0.621,0.647,5802,1.0
516960,2024-09-25,0.649,0.67,0.649,0.657,4665,1.0
516960,2024-09-26,0.67,0.677,0.646,0.677,12484,1.0
516960,2024-09-27,0.688,0.71,0.68,0.709,4203,1.0
516960,2024-09-30,0.73,0.78,0.73,0.78,75915,1.0
516960,2024-10-08,0.858,0.858,0.819,0.854,55830,1.0
516960,2024-10-09,0.846,0.846,0.78,0.797,23673,1.0
516960,2024-10-10,0.797,0.813,0.78,0.794,30981,1.0
516960,2024-10-11,0.795,0.795,0.747,0.76,14933,1.0
516960,2024-10-14,0.751,0.775,0.734,0.765,8867,1.0
516960,2024-10-15,0.765,0.765,0.745,0.749,8302,1.0
516960,2024-10-16,0.747,0.747,0.73,0.732,4895,1.0
516960,2024-10-17,0.732,0.74,0.725,0.726,17152,1.0
516960,2024-10-18,0.72,0.775,0.72,0.775,11198,1.0
516960,2024-10-21,0.776,0.791,0.763,0.766,20320,1.0
516960,2024-10-22,0.765,0.776,0.759,0.776,9051,1.0
516960,2024-10-23,0.773,0.803,0.771,0.791,10783,1.0
516960,2024-10-24,0.783,0.785,0.77,0.773,5472,1.0
516960,2024-10-25,0.788,0.815,0.783,0.808,18658,1.0
516960,2024-10-28,0.808,0.808,0.795,0.808,8929,1.0
516960,2024-10-29,0.811,0.818,0.795,0.796,12182,1.0
516960,2024-10-30,0.79,0.798,0.784,0.791,28823,1.0
516960,2024-10-31,0.791,0.806,0.79,0.797,9073,1.0
516960,2024-11-01,0.793,0.797,0.784,0.79,11559,1.0
516960,2024-11-04,0.788,0.805,0.788,0.802,3445,1.0
516960,2024-11-05,0.807,0.823,0.797,0.822,26169,1.0
516960,2024-11-06,0.823,0.842,0.817,0.82,21911,1.0
516960,2024-11-07,0.822,0.829,0.808,0.829,11264,1.0
516960,2024-11-08,0.83,0.847,0.824,0.826,20839,1.0
516960,2024-11-11,0.824,0.845,0.824,0.845,13750,1.0
516960,2024-11-12,0.816,0.862,0.816,0.835,24844,1.0
516960,2024-11-13,0.835,0.852,0.823,0.843,13600,1.0
516960,2024-11-14,0.84,0.845,0.824,0.824,11561,1.0
516960,2024-11-15,0.822,0.822,0.8,0.8,9910,1.0
516960,2024-11-18,0.79,0.81,0.787,0.789,8043,1.0
516960,2024-11-19,0.781,0.84,0.781,0.809,12922,1.0
516960,2024-11-20,0.81,0.81,0.798,0.806,12251,1.0
516960,2024-11-21,0.808,0.813,0.806,0.81,9187,1.0
516960,2024-11-22,0.806,0.806,0.781,0.781,12207,1.0
516960,2024-11-25,0.782,0.791,0.779,0.785,11298,1.0
516960,2024-11-26,0.787,0.787,0.773,0.774,4792,1.0
516960,2024-11-27,0.772,0.797,0.766,0.79,4737,1.0
516960,2024-11-28,0.788,0.803,0.76,0.779,21045,1.0
516960,2024-11-29,0.771,0.797,0.771,0.791,9766,1.0
516960,2024-12-02,0.791,0.8,0.789,0.8,9615,1.0
516960,2024-12-03,0.798,0.8,0.791,0.797,8306,1.0
516960,2024-12-04,0.79,0.797,0.783,0.786,2729,1.0
516960,2024-12-05,0.786,0.786,0.78,0.782,1314,1.0
516960,2024-12-06,0.779,0.795,0.776,0.79,2802,1.0
516960,2024-12-09,0.789,0.793,0.785,0.789,3792,1.0
516960,2024-12-10,0.8,0.839,0.79,0.79,5391,1.0
516960,2024-12-11,0.802,0.804,0.786,0.787,3950,1.0
516960,2024-12-12,0.785,0.798,0.783,0.791,1408,1.0
516960,2024-12-13,0.793,0.793,0.775,0.775,3420,1.0
516960,2024-12-16,0.772,0.773,0.762,0.764,2738,1.0
516960,2024-12-17,0.768,0.776,0.768,0.768,10121,1.0
516960,2024-12-18,0.769,0.775,0.762,0.769,3478,1.0
516960,2024-12-19,0.769,0.77,0.76,0.767,1356,1.0
516960,2024-12-20,0.762,0.775,0.758,0.76,3074,1.0
516960,2024-12-23,0.758,0.768,0.758,0.759,5795,1.0
516960,2024-12-24,0.763,0.77,0.763,0.769,6218,1.0
516960,2024-12-25,0.768,0.77,0.761,0.764,2647,1.0
516960,2024-12-26,0.765,0.766,0.761,0.763,3818,1.0
516960,2024-12-27,0.762,0.768,0.758,0.762,4286,1.0
516960,2024-12-30,0.765,0.769,0.761,0.766,5005,1.0
516960,2024-12-31,0.767,0.767,0.756,0.756,4509,1.0
