date,symbol,ret_1d_pct,vol_20d_pct,rsi_14
2024-02-19,512290,,,
2024-02-20,512290,0.7,,
2024-02-21,512290,0.4965,,
2024-02-22,512290,0.2964,,
2024-02-23,512290,-0.0985,,
2024-02-26,512290,0.0986,,
2024-02-27,512290,1.1823,,
2024-02-28,512290,-1.5579,,
2024-02-29,512290,1.8793,,
2024-03-01,512290,0.0,,
2024-03-04,512290,2.1359,,
2024-03-05,512290,-0.4753,,
2024-03-06,512290,-0.382,,
2024-03-07,512290,-4.3145,,
2024-03-08,512290,0.3006,,50.35
2024-03-11,512290,3.0969,,57.49
2024-03-12,512290,2.3256,,61.83
2024-03-13,512290,-0.947,,58.03
2024-03-14,512290,-0.1912,,57.73
2024-03-15,512290,-0.5747,,55.78
2024-03-18,512290,0.7707,25.1189,54.87
2024-03-19,512290,-1.8164,26.0739,54.04
2024-03-20,512290,-0.5842,26.1442,47.57
2024-03-21,512290,-0.7835,26.2938,45.6
2024-03-22,512290,-1.6782,26.9642,35.11
2024-03-25,512290,-0.6024,27.0188,34.92
2024-03-26,512290,-0.6061,26.6266,34.55
2024-03-27,512290,-1.5244,26.6041,40.99
2024-03-28,512290,0.0,25.4695,39.87
2024-03-29,512290,-0.2064,25.4486,24.81
2024-04-01,512290,1.758,24.9997,20.49
2024-04-02,512290,-1.2195,25.1991,20.16
2024-04-03,512290,-0.6173,25.2158,19.53
2024-04-08,512290,-1.5528,21.0481,18.25
2024-04-09,512290,1.367,21.7356,21.13
2024-04-10,512290,-1.8672,18.7489,21.28
2024-04-11,512290,-0.8457,15.7049,20.98
2024-04-12,512290,-0.7463,15.6598,21.13
2024-04-15,512290,0.4296,16.0132,26.36
2024-04-16,512290,-1.9251,16.7471,24.11
2024-04-17,512290,1.5267,17.7597,32.21
2024-04-18,512290,-0.9667,17.2196,33.57
2024-04-19,512290,-0.9761,17.2914,31.58
2024-04-22,512290,0.7667,17.8814,35.03
2024-04-23,512290,0.8696,17.8933,31.08
2024-04-24,512290,-0.5388,17.8826,32.62
2024-04-25,512290,0.325,18.0065,35.51
2024-04-26,512290,1.7279,18.7519,46.76
2024-04-29,512290,2.5478,21.0361,50.67
2024-04-30,512290,-0.5176,21.1041,55.47
2024-05-06,512290,3.1217,23.0918,66.67
2024-05-07,512290,0.2018,22.6052,70.13
2024-05-08,512290,-1.1078,22.8817,64.6
2024-05-09,512290,0.7128,22.1224,74.0
2024-05-10,512290,-1.2133,22.2211,65.54
2024-05-13,512290,-0.6141,21.1887,66.9
2024-05-14,512290,0.8239,20.9876,72.92
