date,symbol,ret_1d_pct,vol_20d_pct,rsi_14
2024-01-15,512100,,,
2024-01-16,512100,-0.2729,,
2024-01-17,512100,-2.8272,,
2024-01-18,512100,-0.2816,,
2024-01-19,512100,-1.2706,,
2024-01-22,512100,-5.5767,,
2024-01-23,512100,1.3125,,
2024-01-24,512100,1.5944,,
2024-01-25,512100,3.4821,,
2024-01-26,512100,-1.2796,,
2024-01-29,512100,-2.7844,,
2024-01-30,512100,-2.8148,,
2024-01-31,512100,-3.7602,,
2024-02-01,512100,-0.8976,,
2024-02-02,512100,-3.463,,20.0
2024-02-05,512100,-6.181,,17.18
2024-02-06,512100,6.9412,,30.61
2024-02-07,512100,4.5655,,37.33
2024-02-08,512100,4.1557,,43.7
2024-02-19,512100,0.1515,,50.12
2024-02-20,512100,0.2521,54.2719,48.81
2024-02-21,512100,0.503,54.3748,47.37
2024-02-22,512100,1.7518,54.1025,44.82
2024-02-23,512100,1.7216,54.5182,49.0
2024-02-26,512100,0.1934,54.3415,53.37
2024-02-27,512100,3.0888,51.174,61.93
2024-02-28,512100,-4.9157,54.4169,59.32
2024-02-29,512100,4.0867,56.0111,64.79
2024-03-01,512100,1.1353,54.8161,71.45
2024-03-04,512100,0.1871,54.5652,83.9
2024-03-05,512100,-0.747,53.5592,78.0
2024-03-06,512100,-0.0941,52.3185,73.77
2024-03-07,512100,-1.5066,50.5025,63.27
2024-03-08,512100,1.3384,50.2778,65.32
2024-03-11,512100,2.0283,48.0363,68.04
2024-03-12,512100,0.4623,40.1242,68.04
2024-03-13,512100,0.3221,34.1374,66.08
2024-03-14,512100,-0.5963,31.6835,61.38
2024-03-15,512100,1.569,29.1442,63.87
2024-03-18,512100,1.6811,29.374,61.64
2024-03-19,512100,-0.983,29.9033,76.06
2024-03-20,512100,0.9025,29.9266,70.89
2024-03-21,512100,-0.0447,29.673,68.03
2024-03-22,512100,-1.1633,29.8533,61.51
2024-03-25,512100,-2.2635,31.2618,55.08
2024-03-26,512100,-0.4632,29.4343,53.75
2024-03-27,512100,-3.3039,26.2094,48.12
2024-03-28,512100,2.358,23.3031,50.89
2024-03-29,512100,1.0813,23.2702,48.26
2024-04-01,512100,2.1395,24.4386,52.81
2024-04-02,512100,-0.5464,24.3527,50.48
2024-04-03,512100,-0.3205,24.3956,51.23
2024-04-08,512100,-2.113,25.0235,41.67
2024-04-09,512100,1.3139,25.0076,40.39
2024-04-10,512100,-1.8064,24.7956,38.79
2024-04-11,512100,0.2358,24.7418,36.56
2024-04-12,512100,-0.8471,24.8252,35.12
2024-04-15,512100,-0.9018,24.9201,35.7
2024-04-16,512100,-4.3582,28.101,32.54
2024-04-17,512100,4.6069,32.6265,44.51
2024-04-18,512100,-0.1436,32.5375,50.84
2024-04-19,512100,-0.4794,32.2387,44.19
2024-04-22,512100,-0.1927,32.2243,40.71
2024-04-23,512100,-0.6757,32.1091,32.22
2024-04-24,512100,1.895,32.1876,39.52
2024-04-25,512100,-0.0477,32.1637,40.1
2024-04-26,512100,2.0992,30.7231,51.11
2024-04-29,512100,2.4766,30.838,53.94
2024-04-30,512100,-1.0488,30.9307,56.01
2024-05-06,512100,1.8894,30.7201,59.51
2024-05-07,512100,0.4071,30.6602,62.75
2024-05-08,512100,-1.6216,31.239,60.43
2024-05-09,512100,1.7857,30.746,77.7
2024-05-10,512100,-0.8997,30.7143,66.96
2024-05-13,512100,-0.9532,30.1492,63.56
2024-05-14,512100,0.4583,30.1668,66.38
2024-05-15,512100,-0.9124,30.197,63.51
2024-05-16,512100,-0.2302,29.9744,65.1
2024-05-17,512100,1.6613,25.0348,64.8
2024-05-20,512100,0.3631,19.7929,65.75
2024-05-21,512100,-1.0403,20.3037,56.98
2024-05-22,512100,0.1371,20.1284,49.66
2024-05-23,512100,-2.1908,21.9176,45.77
2024-05-24,512100,-1.2133,22.2753,34.54
2024-05-27,512100,1.1809,21.6697,37.81
2024-05-28,512100,-1.1671,22.1404,39.16
2024-05-29,512100,-0.0472,20.7867,30.26
2024-05-30,512100,-0.0473,18.5286,32.54
2024-05-31,512100,0.2837,18.2968,37.13
2024-06-03,512100,-1.3673,17.201,30.47
2024-06-04,512100,0.6692,17.3624,36.8
2024-06-05,512100,-1.2346,17.0099,33.95
2024-06-06,512100,-2.1154,16.4819,20.07
2024-06-07,512100,0.3929,16.6346,20.07
2024-06-11,512100,0.9295,17.0932,27.27
2024-06-12,512100,0.2908,17.0081,28.06
2024-06-13,512100,-0.6283,16.8982,32.1
2024-06-14,512100,0.2918,17.0152,37.67
2024-06-17,512100,-0.1455,15.4726,29.35
2024-06-18,512100,0.9228,15.9274,40.0
2024-06-19,512100,-1.3474,16.1512,35.14
2024-06-20,512100,-1.8537,16.9306,30.12
2024-06-21,512100,-0.1491,15.5966,28.12
2024-06-24,512100,-3.2852,18.6163,24.57
2024-06-25,512100,-0.8235,17.6635,19.66
2024-06-26,512100,3.0099,21.4547,35.47
2024-06-27,512100,-2.4685,22.7403,34.94
2024-06-28,512100,0.5165,22.9545,35.33
2024-07-01,512100,0.925,23.3198,35.14
2024-07-02,512100,-0.7128,23.0642,32.55
2024-07-03,512100,-0.8205,22.8037,32.27
2024-07-04,512100,-2.0165,23.339,27.85
2024-07-05,512100,1.0026,23.0179,31.55
2024-07-08,512100,-2.4033,24.0221,25.0
2024-07-09,512100,2.1949,25.3603,33.72
2024-07-10,512100,-0.4715,25.2389,36.14
2024-07-11,512100,2.5789,27.3552,43.33
2024-07-12,512100,-0.4105,27.2832,49.74
2024-07-15,512100,-1.0819,27.4205,49.12
2024-07-16,512100,0.2604,27.1168,41.28
2024-07-17,512100,-0.6753,26.8988,46.1
2024-07-18,512100,0.2615,26.3565,45.21
2024-07-19,512100,0.0522,26.3742,41.96
2024-07-22,512100,0.1564,23.7668,44.73
2024-07-23,512100,-2.811,25.6049,39.3
2024-07-24,512100,-1.3926,23.0502,41.0
2024-07-25,512100,0.1086,21.7083,37.46
2024-07-26,512100,1.6278,22.5615,50.94
2024-07-29,512100,-0.4805,22.196,40.43
2024-07-30,512100,0.4292,22.2514,44.02
2024-07-31,512100,4.4872,27.6036,51.3
2024-08-01,512100,-0.6646,26.6483,50.36
2024-08-02,512100,-1.3896,26.9703,49.29
2024-08-05,512100,-2.714,27.3601,40.67
2024-08-06,512100,1.3948,26.6482,46.76
2024-08-07,512100,-0.1058,26.6007,45.7
2024-08-08,512100,0.1059,24.7844,45.86
2024-08-09,512100,-1.0053,24.9592,42.94
2024-08-12,512100,-0.3741,24.7424,49.51
2024-08-13,512100,0.2682,24.7441,54.9
2024-08-14,512100,-1.0166,24.872,51.16
2024-08-15,512100,0.9189,25.1255,48.97
2024-08-16,512100,-0.8034,25.231,47.97
2024-08-19,512100,0.216,25.2419,47.26
2024-08-20,512100,-1.778,24.0407,22.41
2024-08-21,512100,-0.5485,23.6258,22.69
2024-08-22,512100,-1.2686,23.9936,23.08
2024-08-23,512100,0.0559,23.0937,30.05
2024-08-26,512100,0.3908,23.1672,21.95
2024-08-27,512100,-1.1123,23.2843,19.78
2024-08-28,512100,0.1125,15.2938,19.78
2024-08-29,512100,1.6854,17.0616,34.2
2024-08-30,512100,1.9337,18.3975,45.7
2024-09-02,512100,-2.168,17.4802,37.5
2024-09-03,512100,0.8864,16.968,44.27
2024-09-04,512100,-0.3844,16.9806,39.09
2024-09-05,512100,0.8269,17.3387,45.27
2024-09-06,512100,-1.6949,17.9477,39.26
2024-09-09,512100,-0.8343,18.0832,42.06
2024-09-10,512100,0.3365,18.109,45.16
2024-09-11,512100,-0.0559,17.8625,49.56
2024-09-12,512100,-0.3356,17.4027,48.05
2024-09-13,512100,-1.2346,17.6575,42.28
2024-09-18,512100,-0.4545,17.5838,44.44
2024-09-19,512100,1.9977,18.4117,51.31
2024-09-20,512100,-0.5596,18.4153,43.32
2024-09-23,512100,0.1125,17.8919,34.58
2024-09-24,512100,4.2721,23.5186,60.0
2024-09-25,512100,0.7008,23.58,59.51
2024-09-26,512100,4.7645,28.0421,71.73
2024-09-27,512100,9.0956,41.375,81.1
2024-09-30,512100,10.1639,52.7662,90.86
2024-10-08,512100,5.9524,55.2089,94.15
2024-10-09,512100,-8.2263,64.1178,74.85
2024-10-10,512100,-1.268,64.7403,72.82
2024-10-11,512100,-4.0744,67.1856,67.2
2024-10-14,512100,3.6934,67.8693,70.7
2024-10-15,512100,-2.0926,68.1022,68.43
2024-10-16,512100,0.3638,67.7834,67.71
2024-10-17,512100,-0.4078,67.9543,67.76
2024-10-18,512100,4.6406,68.9142,70.27
2024-10-21,512100,1.8261,68.6374,69.46
2024-10-22,512100,0.5551,67.9954,69.46
2024-10-23,512100,0.2548,67.7639,67.29
2024-10-24,512100,-0.6777,68.2134,60.44
2024-10-25,512100,2.3454,67.8542,52.84
2024-10-28,512100,1.375,67.6349,46.0
2024-10-29,512100,-1.5208,67.7964,59.58
2024-10-30,512100,0.5843,67.813,63.72
2024-10-31,512100,1.4938,66.6233,78.11
2024-11-01,512100,-2.9436,61.1936,63.06
2024-11-04,512100,2.3168,50.3005,73.09
2024-11-05,512100,3.417,47.1689,76.61
2024-11-06,512100,0.3185,35.5179,78.15
2024-11-07,512100,1.9048,35.1954,75.87
2024-11-08,512100,0.0779,30.5539,73.85
2024-11-11,512100,2.3735,29.2721,76.24
2024-11-12,512100,-1.0262,28.0904,72.21
2024-11-13,512100,-0.576,28.5072,72.34
2024-11-14,512100,-2.9741,31.2889,59.86
2024-11-15,512100,-2.3885,29.4041,51.6
2024-11-18,512100,-2.4062,30.3825,49.76
2024-11-19,512100,2.5491,31.5585,53.31
2024-11-20,512100,1.8745,32.0979,54.01
2024-11-21,512100,0.24,31.8896,60.86
2024-11-22,512100,-3.8308,34.2192,48.54
2024-11-25,512100,0.4564,33.8988,42.11
2024-11-26,512100,-1.3218,33.7878,39.1
2024-11-27,512100,2.5115,34.8989,40.29
2024-11-28,512100,-0.5717,34.576,39.2
2024-11-29,512100,1.6838,33.2261,37.19
2024-12-02,512100,2.0598,33.0241,43.88
2024-12-03,512100,-0.277,30.8077,44.44
2024-12-04,512100,-1.3492,31.17,47.75
2024-12-05,512100,1.1665,30.6621,55.76
2024-12-06,512100,1.1133,30.9546,64.53
2024-12-09,512100,-0.9044,29.7351,56.9
2024-12-10,512100,1.0714,29.8926,55.12
2024-12-11,512100,1.2956,30.2284,57.61
2024-12-12,512100,0.7752,28.1974,73.17
2024-12-13,512100,-2.0,27.757,64.08
2024-12-16,512100,-1.2951,26.6269,63.94
2024-12-17,512100,-2.1869,26.5391,51.23
2024-12-18,512100,0.813,25.8159,54.97
2024-12-19,512100,0.2823,25.8221,51.31
2024-12-20,512100,1.0052,21.7554,48.09
2024-12-23,512100,-2.8662,24.3155,41.27
2024-12-24,512100,1.1066,24.0243,47.89
2024-12-25,512100,-1.0134,22.6923,41.83
2024-12-26,512100,0.9828,22.8474,41.31
2024-12-27,512100,0.1622,22.0492,44.1
2024-12-30,512100,-0.2834,20.6673,39.6
2024-12-31,512100,-3.2481,23.4676,28.16
2025-01-02,512100,-2.7277,24.7827,21.57
2025-01-03,512100,-2.8041,25.5815,21.02
2025-01-06,512100,-0.577,24.8286,21.88
2025-01-07,512100,1.4732,25.8803,29.98
2025-01-08,512100,-0.4839,25.2064,26.2
2025-01-09,512100,0.221,24.4226,25.88
2025-01-10,512100,-2.1614,24.4011,19.38
2025-01-13,512100,0.2254,24.2032,23.73
2025-01-14,512100,4.6784,30.5966,35.71
2025-01-15,512100,-0.7735,29.8866,36.23
2025-01-16,512100,0.4331,29.729,34.33
2025-01-17,512100,0.7331,29.8924,36.1
2025-01-20,512100,0.5565,29.675,38.32
2025-01-21,512100,0.6386,28.2578,47.75
2025-01-22,512100,-0.8037,27.9492,53.58
2025-01-23,512100,-0.5117,27.8212,62.35
2025-01-24,512100,2.0146,28.6387,69.55
2025-01-27,512100,-1.8487,29.2205,58.54
2025-02-05,512100,0.6849,29.4129,62.03
2025-02-06,512100,2.6786,28.822,67.13
2025-02-07,512100,1.6563,27.3149,78.01
2025-02-10,512100,1.1405,24.8435,79.15
2025-02-11,512100,-0.2014,24.6629,71.76
2025-02-12,512100,1.4931,24.6733,78.14
2025-02-13,512100,-0.9543,24.9813,72.63
2025-02-14,512100,0.3613,24.9658,72.04
2025-02-17,512100,0.44,22.9078,71.89
2025-02-18,512100,-1.9912,24.7101,61.98
2025-02-19,512100,2.2349,20.4051,69.39
2025-02-20,512100,0.6757,19.9438,72.42
2025-02-21,512100,1.895,20.5716,72.48
2025-02-24,512100,0.155,20.6037,80.59
2025-02-25,512100,-0.4255,20.871,77.61
2025-02-26,512100,1.554,21.2211,76.25
2025-02-27,512100,-0.5356,21.021,70.54
2025-02-28,512100,-3.4231,25.0759,53.38
2025-03-03,512100,-0.1195,24.3652,53.64
2025-03-04,512100,1.3158,23.2744,53.19
2025-03-05,512100,0.669,23.2721,58.35
2025-03-06,512100,2.1892,22.7031,62.72
2025-03-07,512100,-0.4208,22.3815,60.27
2025-03-10,512100,0.1153,22.1672,68.08
2025-03-11,512100,0.6907,22.1518,64.84
2025-03-12,512100,0.1524,21.6973,63.53
2025-03-13,512100,-1.5221,22.1958,51.02
2025-03-14,512100,1.6615,22.7926,56.02
2025-03-17,512100,0.114,22.7888,58.02
2025-03-18,512100,0.4176,21.1963,54.49
2025-03-19,512100,-0.6805,20.301,53.87
2025-03-20,512100,-0.4187,20.3497,69.37
2025-03-21,512100,-2.0642,20.7453,58.39
2025-03-24,512100,-0.7806,20.9007,50.16
2025-03-25,512100,-0.6688,20.9724,44.66
2025-03-26,512100,0.3168,20.1308,34.48
2025-03-27,512100,0.0,20.0843,36.0
2025-03-28,512100,-1.0265,16.3077,31.87
2025-03-31,512100,-0.5983,16.4411,25.56
2025-04-01,512100,0.4414,15.7734,27.44
2025-04-02,512100,0.3196,15.604,34.29
2025-04-03,512100,-1.1549,13.5048,17.75
2025-04-07,512100,-9.9919,37.1301,7.98
