date,symbol,ret_1d_pct,vol_20d_pct,rsi_14
2024-01-15,159922,,,
2024-01-16,159922,-0.2511,,
2024-01-17,159922,-2.4169,,
2024-01-18,159922,-0.0516,,
2024-01-19,159922,-0.8776,,
2024-01-22,159922,-5.625,,
2024-01-23,159922,2.5386,,
2024-01-24,159922,1.507,,
2024-01-25,159922,2.9162,,
2024-01-26,159922,-1.0819,,
2024-01-29,159922,-2.1354,,
2024-01-30,159922,-2.3949,,
2024-01-31,159922,-2.3446,,
2024-02-01,159922,-0.6142,,
2024-02-02,159922,-2.8652,,24.81
2024-02-05,159922,-1.8508,,23.58
2024-02-06,159922,8.7802,,42.9
2024-02-07,159922,6.4464,,51.83
2024-02-08,159922,0.7125,,53.87
2024-02-19,159922,-0.8085,,61.25
2024-02-20,159922,0.0509,52.0567,58.47
2024-02-21,159922,0.0,52.0494,56.52
2024-02-22,159922,0.7128,51.3068,53.32
2024-02-23,159922,0.5561,51.3204,56.31
2024-02-26,159922,-0.1006,51.1817,60.63
2024-02-27,159922,2.6673,46.9072,69.96
2024-02-28,159922,-2.6471,47.72,68.5
2024-02-29,159922,3.5247,48.8781,73.55
2024-03-01,159922,0.6323,48.0309,81.02
2024-03-04,159922,-0.0967,47.7646,85.71
2024-03-05,159922,-0.5806,46.9775,77.43
2024-03-06,159922,-0.0487,45.7904,66.92
2024-03-07,159922,-1.4606,45.1376,58.06
2024-03-08,159922,1.5316,44.9826,65.65
2024-03-11,159922,1.8978,43.0294,69.58
2024-03-12,159922,-0.5731,42.1381,67.15
2024-03-13,159922,-0.1441,30.8463,65.17
2024-03-14,159922,-0.4329,21.9866,62.24
2024-03-15,159922,1.3527,22.2732,65.55
2024-03-18,159922,1.5729,22.303,63.5
2024-03-19,159922,-1.1732,22.985,69.48
2024-03-20,159922,0.3324,22.9463,61.63
2024-03-21,159922,-0.5679,23.1465,56.56
2024-03-22,159922,-1.5231,24.0162,50.36
2024-03-25,159922,-1.74,24.9813,46.31
2024-03-26,159922,-0.4919,23.1705,44.95
2024-03-27,159922,-2.2739,22.6436,42.72
2024-03-28,159922,1.1634,19.0104,41.27
2024-03-29,159922,1.4,19.6053,39.14
2024-04-01,159922,2.2682,21.3212,48.82
2024-04-02,159922,-0.4339,21.2722,47.97
2024-04-03,159922,-0.0969,21.2754,48.96
2024-04-08,159922,-1.5027,21.315,40.29
2024-04-09,159922,0.8858,20.8286,37.54
2024-04-10,159922,-1.3659,20.0846,37.2
2024-04-11,159922,0.6429,20.2221,38.32
2024-04-12,159922,-0.5897,20.2948,38.32
2024-04-15,159922,1.2852,20.8616,46.95
2024-04-16,159922,-2.8795,22.4551,43.87
2024-04-17,159922,2.9648,24.4153,53.25
2024-04-18,159922,0.244,24.1714,60.72
2024-04-19,159922,-0.6816,24.1911,55.71
2024-04-22,159922,-0.8824,24.2862,49.12
2024-04-23,159922,-1.1869,24.068,38.05
2024-04-24,159922,1.001,23.6498,42.86
2024-04-25,159922,-0.0496,23.5864,42.99
2024-04-26,159922,2.4294,23.4924,54.91
2024-04-29,159922,2.1781,24.2893,58.18
2024-04-30,159922,-0.8527,24.2296,59.78
2024-05-06,159922,1.6245,23.5891,61.98
2024-05-07,159922,0.047,23.4964,64.08
2024-05-08,159922,-1.4568,24.1801,56.35
2024-05-09,159922,2.0029,24.3137,70.64
2024-05-10,159922,-0.4208,24.3157,63.02
2024-05-13,159922,-0.6573,23.8348,59.69
2024-05-14,159922,0.0473,23.7944,62.54
2024-05-15,159922,-1.1337,24.1126,61.34
2024-05-16,159922,-0.2867,23.8016,65.08
2024-05-17,159922,1.4854,21.4779,66.34
2024-05-20,159922,0.4249,19.0905,67.52
2024-05-21,159922,-0.7522,19.3811,58.01
2024-05-22,159922,-0.0947,19.1602,49.58
2024-05-23,159922,-1.944,20.2743,45.21
2024-05-24,159922,-1.1605,20.2519,33.47
2024-05-27,159922,1.272,20.4301,39.49
2024-05-28,159922,-1.0145,20.829,40.98
2024-05-29,159922,0.244,18.927,31.44
2024-05-30,159922,-0.1947,17.0489,32.14
2024-05-31,159922,-0.0488,16.8414,34.12
2024-06-03,159922,-0.8785,15.7486,31.14
2024-06-04,159922,1.4771,16.8566,43.16
2024-06-05,159922,-1.3586,16.7593,39.45
2024-06-06,159922,-0.5411,14.7366,29.66
2024-06-07,159922,-0.5935,14.7717,25.52
2024-06-11,159922,0.398,14.8938,29.87
2024-06-12,159922,0.2478,14.9606,31.62
2024-06-13,159922,-0.5437,14.627,36.27
2024-06-14,159922,0.4473,14.7958,43.92
2024-06-17,159922,-0.4453,13.4833,33.14
2024-06-18,159922,0.4473,13.4984,41.25
2024-06-19,159922,-1.0886,13.7149,34.46
2024-06-20,159922,-1.6008,14.482,29.76
2024-06-21,159922,0.1525,13.2712,30.92
2024-06-24,159922,-2.2335,14.726,27.47
2024-06-25,159922,-0.9346,13.6607,15.38
2024-06-26,159922,1.5723,15.132,28.7
2024-06-27,159922,-1.8576,15.9926,25.81
2024-06-28,159922,0.2103,16.1185,28.33
2024-07-01,159922,1.2592,17.0913,32.81
2024-07-02,159922,-1.0363,17.1719,29.15
2024-07-03,159922,-0.9424,15.9534,28.42
2024-07-04,159922,-1.5856,16.1493,23.41
