date,symbol,ret_1d_pct,vol_20d_pct,rsi_14
2024-01-16,512480,,,
2024-01-17,512480,-2.9289,,
2024-01-18,512480,2.1552,,
2024-01-19,512480,-0.5626,,
2024-01-22,512480,-4.2433,,
2024-01-23,512480,1.034,,
2024-01-24,512480,-0.2924,,
2024-01-25,512480,2.346,,
2024-01-26,512480,-3.2951,,
2024-01-29,512480,-2.963,,
2024-01-30,512480,-4.1221,,
2024-01-31,512480,-2.707,,
2024-02-01,512480,1.1457,,
2024-02-02,512480,-4.2071,,
2024-02-05,512480,-2.3649,,19.65
2024-02-06,512480,7.6125,,35.32
2024-02-07,512480,2.4116,,35.32
2024-02-08,512480,4.2386,,42.18
2024-02-19,512480,1.506,,49.41
2024-02-20,512480,-0.7418,,47.04
2024-02-21,512480,0.4484,50.1979,48.03
2024-02-22,512480,1.7857,49.6808,47.2
2024-02-23,512480,0.5848,49.0691,52.81
2024-02-26,512480,0.7267,49.1281,58.8
2024-02-27,512480,4.7619,49.344,72.07
2024-02-28,512480,-5.0964,52.9577,66.12
2024-02-29,512480,6.8215,58.0536,70.92
2024-03-01,512480,1.2228,57.7015,78.87
2024-03-04,512480,0.5369,56.0362,83.53
2024-03-05,512480,-0.534,54.6453,78.6
2024-03-06,512480,-1.4765,52.3048,72.99
2024-03-07,512480,-2.0436,51.7593,63.82
2024-03-08,512480,2.6426,52.1375,65.38
2024-03-11,512480,1.084,48.4603,68.25
2024-03-12,512480,0.5362,46.6865,68.4
2024-03-13,512480,0.0,40.5647,66.5
2024-03-14,512480,-1.6,41.1697,62.02
2024-03-15,512480,0.4065,39.082,61.65
2024-03-18,512480,2.969,39.8793,59.49
2024-03-19,512480,-1.3106,40.1928,69.05
2024-03-20,512480,0.2656,40.2086,57.72
2024-03-21,512480,-0.1325,40.0434,53.91
2024-03-22,512480,-1.061,40.4314,48.74
2024-03-25,512480,-2.681,41.8895,42.96
2024-03-26,512480,-1.3774,38.6962,43.28
2024-03-27,512480,-3.6313,36.4415,40.0
2024-03-28,512480,2.029,27.4633,37.86
2024-03-29,512480,0.142,26.9803,34.59
2024-04-01,512480,1.2766,27.3953,36.96
2024-04-02,512480,-1.5406,27.7764,34.23
2024-04-03,512480,-0.7112,27.4685,35.92
2024-04-08,512480,-2.8653,28.3268,30.19
2024-04-09,512480,1.0324,26.6521,22.92
2024-04-10,512480,-2.9197,27.552,21.43
2024-04-11,512480,-0.1504,27.2968,20.26
2024-04-12,512480,0.753,27.6424,22.93
2024-04-15,512480,1.0463,27.9107,27.56
2024-04-16,512480,-3.5503,29.8196,26.88
2024-04-17,512480,4.4479,32.5207,40.22
2024-04-18,512480,-0.8811,32.4225,45.28
2024-04-19,512480,-3.1111,33.5266,34.94
2024-04-22,512480,0.4587,33.7231,35.71
2024-04-23,512480,-0.3044,33.7121,31.68
2024-04-24,512480,2.1374,34.154,39.63
2024-04-25,512480,0.299,34.0267,41.61
2024-04-26,512480,2.6826,33.2045,53.46
2024-04-29,512480,3.4833,34.741,57.95
2024-04-30,512480,-1.2623,35.0672,61.82
2024-05-06,512480,0.9943,34.9468,63.74
2024-05-07,512480,-0.5626,34.5443,61.18
2024-05-08,512480,-1.6973,35.0071,55.43
2024-05-09,512480,2.446,34.3079,67.86
2024-05-10,512480,-2.1067,35.1777,55.19
2024-05-13,512480,-1.4347,33.8512,53.8
2024-05-14,512480,0.1456,33.8287,62.32
2024-05-15,512480,-1.4535,34.2536,57.24
2024-05-16,512480,0.1475,34.0685,58.33
2024-05-17,512480,1.4728,31.6175,57.14
2024-05-20,512480,0.1451,27.5492,56.83
2024-05-21,512480,-0.7246,27.4823,48.41
2024-05-22,512480,0.438,24.7555,38.1
2024-05-23,512480,-1.8895,25.8894,36.7
2024-05-24,512480,-2.5185,27.5425,27.73
2024-05-27,512480,3.4954,29.2829,40.58
2024-05-28,512480,0.2937,29.2824,45.31
2024-05-29,512480,-0.8785,27.8161,35.04
2024-05-30,512480,2.5111,26.3423,48.74
2024-05-31,512480,-0.1441,25.9971,52.73
2024-06-03,512480,1.7316,26.5224,57.02
2024-06-04,512480,-0.2837,26.4664,61.06
2024-06-05,512480,0.4267,25.7399,61.74
2024-06-06,512480,-0.4249,24.229,56.48
2024-06-07,512480,0.0,22.982,56.07
2024-06-11,512480,4.1252,26.4252,67.94
2024-06-12,512480,-0.4098,26.55,65.65
2024-06-13,512480,0.9602,25.8041,74.4
2024-06-14,512480,-0.4076,25.9576,83.78
2024-06-17,512480,2.0464,26.3502,82.52
2024-06-18,512480,0.0,26.3756,82.18
2024-06-19,512480,0.1337,26.0567,87.5
2024-06-20,512480,0.1335,26.0826,85.0
2024-06-21,512480,0.2667,24.6039,86.42
2024-06-24,512480,-2.9255,25.3101,63.74
2024-06-25,512480,-3.8356,27.2321,49.57
2024-06-26,512480,2.4217,28.3876,54.96
2024-06-27,512480,-1.669,28.9458,51.43
2024-06-28,512480,0.4243,27.6879,52.45
2024-07-01,512480,-0.5634,27.7825,38.98
2024-07-02,512480,-1.8414,27.9068,35.94
2024-07-03,512480,1.443,28.4011,37.4
