date,symbol,ret_1d_pct,vol_20d_pct,rsi_14
2024-02-19,512680,,,
2024-02-20,512680,-0.2347,,
2024-02-21,512680,0.4706,,
2024-02-22,512680,1.0539,,
2024-02-23,512680,1.0429,,
2024-02-26,512680,0.8028,,
2024-02-27,512680,2.9579,,
2024-02-28,512680,-3.3149,,
2024-02-29,512680,3.4286,,
2024-03-01,512680,1.6575,,
2024-03-04,512680,-0.1087,,
2024-03-05,512680,0.7617,,
2024-03-06,512680,-0.432,,
2024-03-07,512680,-2.3861,,
2024-03-08,512680,1.5556,,67.22
2024-03-11,512680,1.3129,,70.0
2024-03-12,512680,0.324,,69.84
2024-03-13,512680,0.3229,,68.85
2024-03-14,512680,-1.7167,,61.58
2024-03-15,512680,0.8734,,61.78
2024-03-18,512680,2.2727,26.1085,60.75
2024-03-19,512680,-0.3175,26.1424,71.07
2024-03-20,512680,0.0,26.2094,64.34
2024-03-21,512680,0.1062,26.1618,60.0
2024-03-22,512680,-1.4846,26.9381,53.91
2024-03-25,512680,-2.1529,28.2618,43.97
2024-03-26,512680,-0.44,26.3456,43.97
2024-03-27,512680,-3.2044,26.1627,41.89
2024-03-28,512680,3.5388,26.3555,47.88
2024-03-29,512680,1.8743,26.5443,49.41
2024-04-01,512680,0.974,26.7441,51.14
2024-04-02,512680,-1.179,26.9829,47.28
2024-04-03,512680,-1.0846,27.2174,48.88
2024-04-08,512680,-2.3026,27.1234,41.36
2024-04-09,512680,0.3367,26.5128,35.26
2024-04-10,512680,-1.9016,26.6997,32.62
2024-04-11,512680,-0.2281,26.6118,32.28
2024-04-12,512680,-0.4571,26.5191,31.25
2024-04-15,512680,2.1814,27.4004,40.1
2024-04-16,512680,-4.0449,30.4089,37.09
2024-04-17,512680,3.5129,32.1124,45.61
2024-04-18,512680,0.4525,32.2272,52.8
2024-04-19,512680,1.3514,32.7333,48.21
2024-04-22,512680,1.2222,33.1127,46.56
2024-04-23,512680,-1.7563,33.2714,40.31
2024-04-24,512680,2.3464,33.5387,48.54
2024-04-25,512680,-1.4192,33.9102,47.85
2024-04-26,512680,1.3289,31.9723,56.0
2024-04-29,512680,1.0929,29.7221,57.49
2024-04-30,512680,-1.2973,29.3622,58.91
2024-05-06,512680,0.7667,29.2759,60.87
2024-05-07,512680,2.8261,30.654,66.38
2024-05-08,512680,-1.4799,30.8957,59.38
2024-05-09,512680,3.4335,31.6149,75.0
2024-05-10,512680,-0.6224,31.8284,68.88
2024-05-13,512680,-1.1482,31.2233,64.53
2024-05-14,512680,-0.528,31.3217,60.71
2024-05-15,512680,-1.5924,31.9803,54.0
2024-05-16,512680,-0.1079,31.2478,58.38
2024-05-17,512680,1.4039,27.1021,56.5
2024-05-20,512680,1.278,24.8638,63.64
2024-05-21,512680,-1.4721,25.711,56.18
2024-05-22,512680,-0.4269,25.5034,52.33
2024-05-23,512680,-0.2144,25.2425,55.56
2024-05-24,512680,-2.7927,26.5012,45.86
